2. DFT data set

ID IP/eV n/cP Tb/K Tf/K mu(Li)/(keal/mol) mu(PF6-)/(kcal/mol)
N2C9123 -8.41 1.18 511.37 347.24 18.44 3.22
N2C9124 -7.77 1.37 515.03 351.00 18.50 2.96
N2C9126 -8.44 1.75 607.49 404.66 16.76 1.98
N2C9127 -8.06 2.06 663.01 436.42 15.47 1.38
N2C9128 -8.01 2.86 608.82 409.38 17.13 1.86
N2C914 -8.27 1.60 523.27 357.73 18.51 3.16
N2C9153 -8.01 2.98 545.41 369.18 16.68 2.07
N2C9156 -8.14 4.28 704.89 459.97 15.89 1.26
N2C9165 -7.81 5.34 669.52 443.59 15.67 0.99
N2C9172 -8.08 5.17 630.33 422.21 15.81 1.10
N2C9178 -7.89 4.75 657.39 436.32 15.37 1.03
N2C9186 -7.35 2.03 567.57 378.63 17.81 2.77
N2C9190 -7.52 3.77 697.32 454.65 16.41 1.40
N2C9193 -7.70 4.09 632.21 420.91 15.87 1.17
N2C9194 -7.65 4.26 620.37 414.83 15.84 1.17
N2C9195 -8.06 3.76 609.73 407.84 15.91 1.47
N2C9197 -7.40 4.51 631.99 420.86 16.73 1.70
N2C9198 -7.93 4.95 649.40 431.73 15.95 1.16
N2C9199 -8.22 4.95 648.09 430.73 16.90 1.69
N2C919 -7.94 3.21 579.21 394.94 16.21 1.63
N2C9200 -7.91 4.76 623.09 416.72 16.58 1.81
N2C9202 -8.04 4.71 634.85 423.49 16.04 1.32
N2C9203 -7.80 5.12 629.99 421.89 15.86 1.13
N2C9206 -8.14 2.62 663.09 432.81 16.45 1.56
N2C9207 -8.07 3.22 590.24 395.57 15.76 1.44
N2C9210 -8.27 6.00 665.94 440.72 15.83 0.80
N2C921 -7.84 3.52 620.19 418.83 15.71 1.40
N2C922 -7.88 3.48 613.13 415.10 15.43 1.56
N2C934 -6.47 3.34 532.91 369.17 16.94 2.22
N2C937 -8.08 2.52 560.59 382.44 16.20 2.09
N2C938 -8.10 2.53 649.86 431.27 15.54 1.73
N2C939 -8.04 2.21 555.16 377.99 15.84 2.13
N2C942 -8.10 3.93 692.63 457.83 15.93 1.52
N2C943 -8.00 3.91 693.15 458.23 15.75 1.54
N2C945 -7.81 3.07 592.24 401.58 15.87 1.71
N2C946 -7.73 4.20 633.15 427.53 15.81 1.55
N2C952 -8.00 3.68 583.20 398.62 15.77 1.56
N2C956 -7.90 3.59 654.83 437.75 15.53 1.46
N2C963 -6.49 1.31 522.18 354.56 18.38 3.09
N2C967 -7.98 1.49 519.82 354.62 18.48 3.114
N2C970 -8.05 2.16 514.61 354.33 16.81 2.14
N2C971 -7.99 2.06 513.31 353.18 16.69 2.24
N2C972 -6.39 2.41 518.96 358.08 16.76 2.16
N2C973 -8.16 2.30 515.17 355.60 17.01 2.45
N2C976 -8.04 2.74 560.36 383.19 15.66 1.68
N2C977 -7.66 2.66 519.34 358.92 17.01 2.14
N2C981 -7.79 2.95 569.28 388.30 16.12 1.63
N2C984 -8.02 3.32 600.30 407.25 15.80 1.28
N2C989 -7.82 2.97 570.74 389.10 16.27 1.63
N2C990 -7.74 3.05 676.33 446.60 15.81 1.43
N2C993 -7.40 3.85 583.72 398.96 16.36 1.69
N2C994 -7.97 3.61 564.10 386.95 15.95 1.63
N3C41 -9.79 2.61 517.55 357.92 19.94 2.82
N3C51 -9.56 8.32 677.66 458.04 18.30 2.57
N3C52 -9.39 1.64 489.92 338.30 20.42 1.28
N3C61 -8.76 11.61 710.75 479.74 17.47 0.48
N3C63 -9.25 1.44 484.13 333.03 20.61 1.74
N3C64 -9.21 5.43 583.57 402.27 18.78 0.74
N3C65 -8.80 6.66 587.09 405.39 18.77 1.42
N3C710 -6.89 9.35 698.25 469.02 17.70 0.41
N3C711 -8.68 15.51 663.56 455.95 17.41 -0.12
N3C712 -8.92 1.28 482.15 330.38 20.72 2.28
N3C713 -8.56 3.90 571.88 392.39 18.89 0.63
N3C0714 -7.18 4.55 571.50 392.74 18.93 1.13
N3C73 -8.97 17.76 671.41 461.66 17.05 -0.61
N3C74 -6.54 1.51 491.01 337.14 20.71 2.07
N3C75 -6.62 4.78 568.79 392.12 18.96 0.94
N3C76 -8.74 6.86 591.10 408.67 17.82 -0.14
N3C77 -8.92 9.51 624.34 429.30 17.88 -0.05
N3C78 -6.66 6.86 567.88 394.09 18.83 1.48
N3C79 -8.79 10.08 607.46 420.34 17.87 0.68
N3C810 -8.55 18.13 670.61 460.29 17.20 -0.28
N3C811 -8.54 23.56 763.57 512.67 16.76 -0.59
N3C813 -6.69 7.80 602.75 415.10 18.29 0.86
N3C814 -8.36 6.34 638.94 432.99 17.63 0.54
N3C815 -8.66 10.01 691.89 465.23 17.82 0.81
N3C816 -6.79 10.17 652.54 444.42 17.46 0.46
N3C817 -6.64 12.59 655.01 447.58 17.56 0.61
N3C818 -8.52 15.00 639.96 441.03 17.77 0.47
N3C81 -8.46 9.41 706.90 473.65 17.24 0.28
N3C820 -8.57 23.54 709.85 484.09 17.12 -0.15
N3C821 -8.52 21.87 803.22 533.16 16.85 -0.95
N3C822 -8.56 16.41 744.21 499.15 16.81 -0.80
N3C823 -6.60 1.40 492.34 337.14 20.78 2.51
N3C824 -8.24 1.70 496.26 341.34 20.88 2.43
N3C825 -7.42 3.76 580.80 396.20 18.78 1.07
N3C826 -6.48 3.89 561.89 386.29 18.94 1.15
N3C827 -8.83 6.90 620.75 424.75 17.80 0.06
N3C828 -8.76 4.99 653.95 438.46 18.96 1.14
N3C829 -8.06 6.59 691.46 462.33 17.65 0.05
N3C82 -6.95 21.70 728.32 493.16 16.88 -0.68
N3C830 -8.43 5.01 560.74 387.06 18.92 1.40
N3C831 -8.61 9.49 621.35 426.80 17.95 0.65
N3C832 -8.43 9.66 641.57 438.73 17.52 -0.19
N3C833 -8.76 10.10 622.83 428.24 17.79 0.24
N3C834 -7.47 7.51 686.96 459.62 17.81 0.59
N3C835 -8.41 7.06 659.29 443.34 19.12 1.63
N3C836 -8.49 7.87 592.45 409.04 17.95 0.89
N3C838 -7.20 1.15 481.83 328.93 20.76 2.76
N3C839 -8.00 2.63 556.73 379.88 18.78 0.91
N3C840 -8.62 18.90 694.07 467.46 17.47 0.04
N3C841 -8.79 30.46 721.52 487.77 16.98 -0.53
